model,gauge,state,input,state_covariant,output_covariant
F0,0,0,00,1,1
F0,0,0,01,1,1
F0,0,0,10,1,1
F0,0,0,11,1,1
F0,0,1,00,1,1
F0,0,1,01,1,1
F0,0,1,10,1,1
F0,0,1,11,1,1
F0,1,0,00,1,1
F0,1,0,01,1,1
F0,1,0,10,1,1
F0,1,0,11,1,1
F0,1,1,00,1,1
F0,1,1,01,1,1
F0,1,1,10,1,1
F0,1,1,11,1,1
F1,0,00,00,1,1
F1,0,00,01,1,1
F1,0,00,10,1,1
F1,0,00,11,1,1
F1,0,01,00,1,1
F1,0,01,01,1,1
F1,0,01,10,1,1
F1,0,01,11,1,1
F1,0,10,00,1,1
F1,0,10,01,1,1
F1,0,10,10,1,1
F1,0,10,11,1,1
F1,0,11,00,1,1
F1,0,11,01,1,1
F1,0,11,10,1,1
F1,0,11,11,1,1
F1,1,00,00,1,1
F1,1,00,01,1,1
F1,1,00,10,1,1
F1,1,00,11,1,1
F1,1,01,00,1,1
F1,1,01,01,1,1
F1,1,01,10,1,1
F1,1,01,11,1,1
F1,1,10,00,1,1
F1,1,10,01,1,1
F1,1,10,10,1,1
F1,1,10,11,1,1
F1,1,11,00,1,1
F1,1,11,01,1,1
F1,1,11,10,1,1
F1,1,11,11,1,1
