model,left_map_id,right_map_id,result_map_id
F0,0,0,0
F0,0,1,0
F0,0,2,0
F0,1,0,0
F0,1,1,1
F0,1,2,2
F0,2,0,2
F0,2,1,2
F0,2,2,2
F1,0,0,0
F1,0,1,0
F1,0,2,0
F1,0,3,0
F1,0,4,0
F1,0,5,0
F1,0,6,0
F1,0,7,0
F1,1,0,0
F1,1,1,0
F1,1,2,1
F1,1,3,0
F1,1,4,1
F1,1,5,3
F1,1,6,3
F1,1,7,3
F1,2,0,0
F1,2,1,1
F1,2,2,2
F1,2,3,3
F1,2,4,4
F1,2,5,5
F1,2,6,6
F1,2,7,7
F1,3,0,3
F1,3,1,3
F1,3,2,3
F1,3,3,3
F1,3,4,3
F1,3,5,3
F1,3,6,3
F1,3,7,3
F1,4,0,3
F1,4,1,3
F1,4,2,4
F1,4,3,3
F1,4,4,4
F1,4,5,5
F1,4,6,5
F1,4,7,5
F1,5,0,5
F1,5,1,5
F1,5,2,5
F1,5,3,5
F1,5,4,5
F1,5,5,5
F1,5,6,5
F1,5,7,5
F1,6,0,5
F1,6,1,5
F1,6,2,6
F1,6,3,5
F1,6,4,6
F1,6,5,7
F1,6,6,7
F1,6,7,7
F1,7,0,7
F1,7,1,7
F1,7,2,7
F1,7,3,7
F1,7,4,7
F1,7,5,7
F1,7,6,7
F1,7,7,7
GM,0,0,0
GM,0,1,0
GM,0,2,0
GM,0,3,0
GM,0,4,0
GM,0,5,0
GM,1,0,0
GM,1,1,1
GM,1,2,2
GM,1,3,3
GM,1,4,4
GM,1,5,5
GM,2,0,2
GM,2,1,2
GM,2,2,2
GM,2,3,2
GM,2,4,2
GM,2,5,2
GM,3,0,2
GM,3,1,3
GM,3,2,2
GM,3,3,3
GM,3,4,5
GM,3,5,5
GM,4,0,4
GM,4,1,4
GM,4,2,4
GM,4,3,4
GM,4,4,4
GM,4,5,4
GM,5,0,5
GM,5,1,5
GM,5,2,5
GM,5,3,5
GM,5,4,5
GM,5,5,5
