cw_state,ccw_state,H,Z,cw_diff,ccw_diff,cit_word,cit
000,000,1,0,111,111,111,1
000,000,0,1,111,111,111,1
000,001,1,0,111,111,111,1
000,001,0,1,111,111,111,1
000,010,1,0,111,111,111,1
000,010,0,1,111,111,111,1
000,011,1,0,111,111,111,1
000,011,0,1,111,111,111,1
000,100,1,0,111,111,111,1
000,100,0,1,111,111,111,1
000,101,1,0,111,111,111,1
000,101,0,1,111,111,111,1
000,110,1,0,111,111,111,1
000,110,0,1,111,111,111,1
000,111,1,0,111,111,111,1
000,111,0,1,111,111,111,1
001,000,1,0,111,111,111,1
001,000,0,1,111,111,111,1
001,001,1,0,111,111,111,1
001,001,0,1,111,111,111,1
001,010,1,0,111,111,111,1
001,010,0,1,111,111,111,1
001,011,1,0,111,111,111,1
001,011,0,1,111,111,111,1
001,100,1,0,111,111,111,1
001,100,0,1,111,111,111,1
001,101,1,0,111,111,111,1
001,101,0,1,111,111,111,1
001,110,1,0,111,111,111,1
001,110,0,1,111,111,111,1
001,111,1,0,111,111,111,1
001,111,0,1,111,111,111,1
010,000,1,0,111,111,111,1
010,000,0,1,111,111,111,1
010,001,1,0,111,111,111,1
010,001,0,1,111,111,111,1
010,010,1,0,111,111,111,1
010,010,0,1,111,111,111,1
010,011,1,0,111,111,111,1
010,011,0,1,111,111,111,1
010,100,1,0,111,111,111,1
010,100,0,1,111,111,111,1
010,101,1,0,111,111,111,1
010,101,0,1,111,111,111,1
010,110,1,0,111,111,111,1
010,110,0,1,111,111,111,1
010,111,1,0,111,111,111,1
010,111,0,1,111,111,111,1
011,000,1,0,111,111,111,1
011,000,0,1,111,111,111,1
011,001,1,0,111,111,111,1
011,001,0,1,111,111,111,1
011,010,1,0,111,111,111,1
011,010,0,1,111,111,111,1
011,011,1,0,111,111,111,1
011,011,0,1,111,111,111,1
011,100,1,0,111,111,111,1
011,100,0,1,111,111,111,1
011,101,1,0,111,111,111,1
011,101,0,1,111,111,111,1
011,110,1,0,111,111,111,1
011,110,0,1,111,111,111,1
011,111,1,0,111,111,111,1
011,111,0,1,111,111,111,1
100,000,1,0,111,111,111,1
100,000,0,1,111,111,111,1
100,001,1,0,111,111,111,1
100,001,0,1,111,111,111,1
100,010,1,0,111,111,111,1
100,010,0,1,111,111,111,1
100,011,1,0,111,111,111,1
100,011,0,1,111,111,111,1
100,100,1,0,111,111,111,1
100,100,0,1,111,111,111,1
100,101,1,0,111,111,111,1
100,101,0,1,111,111,111,1
100,110,1,0,111,111,111,1
100,110,0,1,111,111,111,1
100,111,1,0,111,111,111,1
100,111,0,1,111,111,111,1
101,000,1,0,111,111,111,1
101,000,0,1,111,111,111,1
101,001,1,0,111,111,111,1
101,001,0,1,111,111,111,1
101,010,1,0,111,111,111,1
101,010,0,1,111,111,111,1
101,011,1,0,111,111,111,1
101,011,0,1,111,111,111,1
101,100,1,0,111,111,111,1
101,100,0,1,111,111,111,1
101,101,1,0,111,111,111,1
101,101,0,1,111,111,111,1
101,110,1,0,111,111,111,1
101,110,0,1,111,111,111,1
101,111,1,0,111,111,111,1
101,111,0,1,111,111,111,1
110,000,1,0,111,111,111,1
110,000,0,1,111,111,111,1
110,001,1,0,111,111,111,1
110,001,0,1,111,111,111,1
110,010,1,0,111,111,111,1
110,010,0,1,111,111,111,1
110,011,1,0,111,111,111,1
110,011,0,1,111,111,111,1
110,100,1,0,111,111,111,1
110,100,0,1,111,111,111,1
110,101,1,0,111,111,111,1
110,101,0,1,111,111,111,1
110,110,1,0,111,111,111,1
110,110,0,1,111,111,111,1
110,111,1,0,111,111,111,1
110,111,0,1,111,111,111,1
111,000,1,0,111,111,111,1
111,000,0,1,111,111,111,1
111,001,1,0,111,111,111,1
111,001,0,1,111,111,111,1
111,010,1,0,111,111,111,1
111,010,0,1,111,111,111,1
111,011,1,0,111,111,111,1
111,011,0,1,111,111,111,1
111,100,1,0,111,111,111,1
111,100,0,1,111,111,111,1
111,101,1,0,111,111,111,1
111,101,0,1,111,111,111,1
111,110,1,0,111,111,111,1
111,110,0,1,111,111,111,1
111,111,1,0,111,111,111,1
111,111,0,1,111,111,111,1
