pair_id,family,reference_history,holonomy_history,phase_a_state_match,phase_a_joint_generation,phase_a_history_irreducibility,phase_a_intervention_sensitivity,phase_a_pair_specificity,phase_a_bilateral_feedback,phase_a_gauge_relative_error,phase_a_class2,phase_b_state_match,phase_b_joint_generation,phase_b_history_irreducibility,phase_b_intervention_sensitivity,phase_b_pair_specificity,phase_b_bilateral_feedback,phase_b_gauge_relative_error,phase_b_class2,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,erased_action_distance,no_feedback_A_distance,no_feedback_B_distance,phase_b_o3,generic_class2,generic_o3
P1000,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1930592248089817,0.0,0.23022034946288086,1.2056091340485098e-16,False,True,0.14318055291730564,0.14586969946984502,0.2001849025717637,0.0,0.21783787130907012,0.0,False,0.10191274602597514,0.10020760525138468,0.2189031738384002,0.19515262500730074,0.0,0.0,0.0,False,False,False
P1001,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19589124411671022,0.0,0.2092535185660398,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.2221432782762804,0.0,0.2104450086381333,1.9027649824812795e-16,False,0.10191274602597514,0.10020760525138468,0.21981910604644445,0.1854528884250772,0.0,0.0,0.0,False,False,False
P1002,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18650574640786266,0.0,0.21587325773598562,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.20186754093112846,0.0,0.20852494452699433,0.0,False,0.10191274602597514,0.10020760525138468,0.19829811327879612,0.21564709666679854,0.0,0.0,0.0,False,False,False
P1003,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2079186632819841,0.0,0.22554839698316387,0.0,False,True,0.14318055291730564,0.14586969946984502,0.20657444357673005,0.0,0.19205785102970147,0.0,False,0.10191274602597514,0.10020760525138468,0.2312257727933361,0.21364866208841024,0.0,0.0,0.0,False,False,False
P1004,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19858457479767755,0.0,0.21032720304383531,0.0,False,True,0.14318055291730564,0.14586969946984502,0.2131272388754183,0.0,0.22196099532767133,0.0,False,0.10191274602597514,0.10020760525138468,0.20358198586359016,0.2118223040914397,0.0,0.0,0.0,False,False,False
P1005,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2031092166571578,0.0,0.2164984290861138,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.20662413702097152,0.0,0.21181525849809194,0.0,False,0.10191274602597514,0.10020760525138468,0.2032188543427466,0.19951016729105997,0.0,0.0,0.0,False,False,False
P1006,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2018456873266044,0.0,0.2080361817098435,1.3341705941488939e-16,False,True,0.14318055291730564,0.14586969946984502,0.2121277911915873,0.0,0.21554532700304813,0.0,False,0.10191274602597514,0.10020760525138468,0.229470422406306,0.189822196590692,0.0,0.0,0.0,False,False,False
P1007,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19571269750979248,0.0,0.21171226452983238,0.0,False,True,0.14318055291730564,0.14586969946984502,0.1958930250575076,0.0,0.20986977408486227,1.4711473786810535e-16,False,0.10191274602597514,0.10020760525138468,0.21552245691580227,0.20417633708931926,0.0,0.0,0.0,False,False,False
P1008,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1931692086573943,0.0,0.18694492026595608,0.0,False,True,0.14318055291730564,0.14586969946984502,0.21630066990050345,0.0,0.21372403003042353,2.5412524607028996e-16,False,0.10191274602597514,0.10020760525138468,0.21552969276378697,0.21228605864253458,0.0,0.0,0.0,False,False,False
P1009,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19197101357395507,0.0,0.2102614474384294,0.0,False,True,0.14318055291730564,0.14586969946984502,0.20687671114762862,0.0,0.2132953181326015,1.9027649824812795e-16,False,0.10191274602597514,0.10020760525138468,0.20406663920091664,0.21444794030846287,0.0,0.0,0.0,False,False,False
