pair_id,family,control,registered_class,joint_generation,history_irreducibility,intervention_sensitivity,pair_specificity,bilateral_feedback,gauge_relative_error,declared_class2
P2000,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2000,0,historyless,0,0.1279298943149911,0.0,0.19402352305545473,0.17250980757855505,0.15072104490993182,0.0,False
P2000,0,common_memory,0,0.0,0.0,0.20358622517763034,0.22063515245020404,0.0,1.3487298610431119e-16,False
P2000,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2000,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2000,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21771241653762333,0.0,0.0,0.0,False
P2000,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10524003702665523,0.11443300670396418,0.0,0.0,False
P2000,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.17733968489475155,0.0,0.14607872593150167,0.0,False
P2001,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2001,0,historyless,0,0.1279298943149911,0.0,0.19590606510770558,0.19385138734963736,0.1435357480767082,2.3632326617751706e-16,False
P2001,0,common_memory,0,0.0,0.0,0.20680000597031428,0.2246806178147726,0.0,2.4297466754929314e-16,False
P2001,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2001,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2001,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.19998675551311404,0.0,0.0,0.0,False
P2001,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10849200445303184,0.117573386345877,0.0,0.0,False
P2001,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.19078193078794592,0.0,0.13085225784104473,1.5855216988419873e-16,False
P2002,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2002,0,historyless,0,0.1279298943149911,0.0,0.20329510137801854,0.1906191619645602,0.1479688650025695,0.0,False
P2002,0,common_memory,0,0.0,0.0,0.20228669373890099,0.21900997225657343,0.0,1.397680387206787e-16,False
P2002,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2002,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2002,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21864515976384596,0.0,0.0,0.0,False
P2002,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10839064547588342,0.1052318998598313,0.0,1.7669302312364054e-16,False
P2002,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.17878416544039366,0.0,0.16061128440325198,1.4767983952986093e-16,False
P2003,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2003,0,historyless,0,0.1279298943149911,0.0,0.19062334900150912,0.16717835805520992,0.14199666124217603,1.9546639599005528e-16,False
P2003,0,common_memory,0,0.0,0.0,0.20587280114379558,0.22362557152894796,0.0,1.368803683519651e-16,False
P2003,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2003,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2003,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.22798680564387702,0.0,0.0,1.7669302312364054e-16,False
P2003,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10154836558056664,0.11445490082405999,0.0,0.0,False
P2003,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.18572577153488246,0.0,0.16133872102306915,0.0,False
P2004,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2004,0,historyless,0,0.1279298943149911,0.0,0.18912466441955014,0.17997122953915323,0.17537827689003116,1.5826119464631709e-16,False
P2004,0,common_memory,0,0.0,0.0,0.2041592981466659,0.21821896714371475,0.0,1.2798206319296489e-16,False
P2004,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2004,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2004,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21772469515295664,0.0,0.0,2.470580159175378e-16,False
P2004,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.09458183842628348,0.10471079165166357,0.0,0.0,False
P2004,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.1909040599218245,0.0,0.1482856775053902,0.0,False
P2005,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2005,0,historyless,0,0.1279298943149911,0.0,0.19263720312183802,0.169736909850479,0.13498082567721753,0.0,False
P2005,0,common_memory,0,0.0,0.0,0.2081738606012417,0.2099337686808012,0.0,0.0,False
P2005,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2005,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2005,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21226706042541227,0.0,0.0,0.0,False
P2005,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1056534617580475,0.10566629072116249,0.0,0.0,False
P2005,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.195422843471482,0.0,0.15241905130087816,0.0,False
P2006,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2006,0,historyless,0,0.1279298943149911,0.0,0.19169256591884754,0.17774903745675874,0.12137742913358839,1.9855529786417633e-16,False
P2006,0,common_memory,0,0.0,0.0,0.20334048900109808,0.22050880930522254,0.0,0.0,False
P2006,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2006,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2006,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21370335885333944,0.0,0.0,1.7669302312364054e-16,False
P2006,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1210670445287436,0.10466711627737228,0.0,0.0,False
P2006,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.19684250403052528,0.0,0.14257391518375764,0.0,False
P2007,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2007,0,historyless,0,0.1279298943149911,0.0,0.19432033197197462,0.1800385125031059,0.1510270876245382,2.003009615563012e-16,False
P2007,0,common_memory,0,0.0,0.0,0.21879305486545483,0.2133167503127648,0.0,0.0,False
P2007,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2007,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2007,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21579586962506542,0.0,0.0,0.0,False
P2007,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10060530873709002,0.10814217943347929,0.0,2.4126966940438136e-16,False
P2007,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.18736229420325273,0.0,0.16045149080990997,0.0,False
P2008,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2008,0,historyless,0,0.1279298943149911,0.0,0.19626825939350506,0.1835263868454074,0.13899733374665676,0.0,False
P2008,0,common_memory,0,0.0,0.0,0.2054980498589664,0.22257694143955586,0.0,0.0,False
P2008,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2008,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2008,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.20684076653338485,0.0,0.0,0.0,False
P2008,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10418406659989114,0.10646474078968529,0.0,0.0,False
P2008,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.20166867025542512,0.0,0.14868627409615612,0.0,False
P2009,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
