pair_id,family,reference_history,holonomy_history,phase_a_state_match,phase_a_joint_generation,phase_a_history_irreducibility,phase_a_intervention_sensitivity,phase_a_pair_specificity,phase_a_bilateral_feedback,phase_a_gauge_relative_error,phase_a_class2,phase_b_state_match,phase_b_joint_generation,phase_b_history_irreducibility,phase_b_intervention_sensitivity,phase_b_pair_specificity,phase_b_bilateral_feedback,phase_b_gauge_relative_error,phase_b_class2,K_AB_history_distance,carrier_history_distance,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,self_erased_action_distance,self_erasure_carrier_preservation,carrier_reset_action_distance,native_archive_reset_action_distance,order_erased_action_distance,current_only_action_distance,direct_carrier_action_distance,no_feedback_A_distance,no_feedback_B_distance,unilateral_A_A_effect,unilateral_A_B_effect,unilateral_B_A_effect,unilateral_B_B_effect,completed_C_exchange_A_effect,completed_C_exchange_B_effect,selective_reset_A_effect,selective_reset_B_effect,phase_b_all_registered_controls,phase_b_o3,generic_class2,generic_o3
P2000,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1931692086573943,0.2144065795365614,0.18694492026595608,0.0,True,True,0.14223161127206793,0.14519932639429514,0.20743106736796357,0.23730878978080405,0.22124984640575812,2.713282456371173e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17843568804432858,0.19760344685574557,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2014805517874119,0.0,0.0,0.20931175109851613,0.23800029899503794,0.23661728056657014,0.20459038866709126,0.21027174606883586,True,True,True,True
P2001,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19197101357395507,0.23185243211612527,0.2102614474384294,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.1931704112498999,0.22362611326300183,0.2107696837218688,1.3168675459159063e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19364266642686342,0.19089591371002623,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18371109595503166,0.0,0.0,0.22089677346261632,0.20381658072401482,0.24343564580198884,0.18374904995183944,0.20259177254796035,True,True,True,True
P2002,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19415317928428855,0.2116127616037637,0.2060037741837268,0.0,True,True,0.14223161127206793,0.14519932639429514,0.19478912272361248,0.23273395116200912,0.21318563814829206,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17622970322529405,0.20066023071660177,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19418017813993485,0.0,0.0,0.21611753545233497,0.23446432222455138,0.23100358009946684,0.17808439805397275,0.2114938473932522,True,True,True,True
P2003,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1901952124298431,0.21239480116185944,0.21234481716371265,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.20376586398768992,0.21611468514670074,0.21407297810994458,1.2391853651333678e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.1950491175533426,0.2071686165415504,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20546090322876145,0.0,0.0,0.22438442654813243,0.20824693476292935,0.22398243553047215,0.1922568382660159,0.21527488970936398,True,True,True,True
P2004,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1773484508084578,0.20566528183112986,0.21333044154840264,0.0,True,True,0.14223161127206793,0.14519932639429514,0.21626103519142234,0.22841594053057013,0.20309161336556592,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19637260437276838,0.2039417079701918,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1719528515240363,0.0,0.0,0.22972936092688345,0.2170255529841052,0.23980632807703503,0.213759857073511,0.21876221330933368,True,True,True,True
P2005,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18222386253924827,0.21274165403591538,0.19625168372072285,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.2034258075843378,0.2311430875757175,0.20653248958761353,2.340843421226235e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19196555756461392,0.20768714229962046,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20651300493130398,0.0,0.0,0.2172473561816738,0.2251445076315345,0.2371416675199005,0.20010776994803367,0.2067438452206419,True,True,True,True
P2006,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2167652337836108,0.20890422468651404,0.18823172691060625,2.662734609510207e-16,True,True,0.14223161127206793,0.14519932639429514,0.19216909339691485,0.24590617814719745,0.21735333482806632,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.20632300926228417,0.2014750928822612,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1907303948258825,0.0,0.0,0.2058344903966619,0.24329109355440903,0.24852126273998587,0.17624357791496287,0.20809460887886685,True,True,True,True
P2007,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19249693061517253,0.21310675641530877,0.2286368834346302,0.0,True,True,0.14223161127206793,0.14519932639429514,0.1770477901469533,0.22265453710213562,0.21251439614233253,2.2671722976083066e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.21520880735796438,0.2065521369447281,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19754036175358655,0.0,0.0,0.23293784993488345,0.20046155516119785,0.24484751904307336,0.17802980952513475,0.17606577076877183,True,True,True,True
P2008,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1930592248089817,0.2179702895753002,0.23022034946288086,1.2445827099148628e-16,True,True,0.14223161127206793,0.14519932639429514,0.18471979012703846,0.23329098216371297,0.20275915090007693,1.724886307412998e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.18835069610338948,0.20827285821589256,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19603232157933514,0.0,0.0,0.2429906124271691,0.21875456703774787,0.2478273972896781,0.16091249316748885,0.20852708708658807,True,True,True,True
P2009,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19589124411671022,0.21162967814366207,0.2092535185660398,2.652818055899914e-16,True,True,0.14223161127206793,0.14519932639429514,0.1956181494889036,0.24015239340532685,0.20121536146748822,1.5290482492760495e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19703890336701466,0.1873271216762826,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18709888329246482,0.0,0.0,0.2236918879916607,0.22514086108481549,0.2551639257258382,0.18152190834246207,0.20971439063534517,True,True,True,True
P2010,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18650574640786266,0.21882775211634153,0.21587325773598562,1.4252300062188166e-16,True,True,0.14223161127206793,0.14519932639429514,0.20013651675648225,0.21493182535073563,0.2198239035843438,2.3692846829831586e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.189553357268413,0.2066285602691601,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2017172873736911,0.0,0.0,0.22902814812118122,0.2080200025815672,0.2218436481199041,0.1864215822630292,0.21385145124993532,True,True,True,True
P2011,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2079186632819841,0.2123852201543045,0.22554839698316387,0.0,True,True,0.14223161127206793,0.14519932639429514,0.20138732587809588,0.20817315368512035,0.22191839911734335,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.211345790577515,0.20853033999127052,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18985368253546925,0.0,0.0,0.22190759578495628,0.18018801422337172,0.23615829314686895,0.17927823663048978,0.22349641512570198,True,True,True,True
