training_seed,architecture,transition,model_weight_hash,heldout_both_correct,task_competent,untrained_component_norm,component_norm,component_a_norm,component_b_norm,component_bilateral_support,next_component_norm,transported_norm,transport_fraction,transport_percentile,probability_response,probability_response_percentile,erase_cross_entropy_increase,exchange_cross_entropy_increase,bilateral_fraction,reconstruction_error
8000,distributed,4_to_5,811f12f7eec0e0d4078789c6de46ff6bae6782ab9a2f3bf6c684bd0e931e653c,1.0,True,5.57733481241993e-05,0.0862506633350965,0.07608956439253581,0.08806662008036459,1.0,0.15775068056068026,0.07677574508888657,0.486690420706959,0.0,1.4552041033052605e-06,0.0,1.416228554200015e-06,4.168602724523366e-06,1.0,2.636779683484747e-16
8000,distributed,5_to_6,811f12f7eec0e0d4078789c6de46ff6bae6782ab9a2f3bf6c684bd0e931e653c,1.0,True,5.57733481241993e-05,0.15775068056068026,0.1623582370649341,0.1461408505065175,1.0,0.22455237236663636,0.12675045522695916,0.5644583216427044,0.0,1.5838108177322375e-06,0.0,1.3247367362082452e-06,1.3819841009575472e-05,1.0,3.3306690738754696e-16
8000,distributed,6_to_7,811f12f7eec0e0d4078789c6de46ff6bae6782ab9a2f3bf6c684bd0e931e653c,1.0,True,5.57733481241993e-05,0.22455237236663636,0.22082642880895442,0.21563277637198605,1.0,0.31594294285136226,0.1637306723412104,0.5182286107217743,0.0,1.9285548102902666e-06,0.0,7.831920343752619e-07,2.5233337570615714e-05,1.0,3.3306690738754696e-16
8000,central_shared,4_to_5,6c9d5298ed6315f24fe4368a4c72a4a483bed123300716a0152125ba8665591f,1.0,True,8.803653131164397e-05,0.09498145544420208,0.09655539491839316,0.09033512383909775,1.0,0.17252007082468626,0.08278665088319356,0.4798667800648007,0.0,6.033918402319237e-07,0.0,-2.586292420625732e-07,5.307667356542903e-05,1.0,2.220446049250313e-16
8000,central_shared,5_to_6,6c9d5298ed6315f24fe4368a4c72a4a483bed123300716a0152125ba8665591f,1.0,True,8.803653131164397e-05,0.17252007082468626,0.18285243935227607,0.156240949275619,1.0,0.21714960443712839,0.12451221162667098,0.5733936838126784,0.0,9.352010862780868e-07,0.0,5.107173073489465e-09,7.256421597253523e-05,1.0,2.7755575615628914e-16
8000,central_shared,6_to_7,6c9d5298ed6315f24fe4368a4c72a4a483bed123300716a0152125ba8665591f,1.0,True,8.803653131164397e-05,0.21714960443712839,0.2215199067364451,0.2046959453921723,1.0,0.2553915387392509,0.15733709443886842,0.6160622830950797,0.0,1.2543552172740974e-06,0.0,4.050395981914589e-07,0.0005021850891396384,1.0,3.3306690738754696e-16
8000,directional_relay,4_to_5,a9947757b77e1591616b0131a42b2b6f3682ee305a2c06c2e139d9c24727eea2,1.0,True,8.795326184134348e-05,0.025320202502685435,0.01695873245602174,0.02885672502027368,1.0,0.057690630987714986,0.023187060004827995,0.4019207210572128,1.0,1.7766570466215867e-07,0.0,1.9253403450060988e-07,7.098477730321395e-07,0.8359375,2.220446049250313e-16
8000,directional_relay,5_to_6,a9947757b77e1591616b0131a42b2b6f3682ee305a2c06c2e139d9c24727eea2,1.0,True,8.795326184134348e-05,0.057690630987714986,0.03745612120771863,0.06858289132019502,1.0,0.0990389815096347,0.040916219394992556,0.41313247340909043,0.0,5.564116638834963e-07,0.0,6.937139421150385e-07,1.7480059432234753e-05,0.900390625,2.220446049250313e-16
8000,directional_relay,6_to_7,a9947757b77e1591616b0131a42b2b6f3682ee305a2c06c2e139d9c24727eea2,1.0,True,8.795326184134348e-05,0.0990389815096347,0.07885128572896505,0.10976718195347722,1.0,0.15138663746802342,0.0652606731574282,0.4310860869157812,0.0,6.898833599502688e-06,1.0,1.0122449145442581e-05,0.0001467759521689467,0.9833984375,3.3306690738754696e-16
8000,four_channel_crossbar,4_to_5,8016f3735c60bf2cd701a9beeb96179cbf25f40ad1a83019cdbecba8c4c5b40a,1.0,True,0.00012151640722385016,0.0916334738485736,0.07965604864341665,0.09623560199796413,1.0,0.1597735902004362,0.06550403079118264,0.4099803397357958,0.0,7.584977926532573e-07,0.0,-4.079813286582066e-07,3.270189508224666e-05,0.997314453125,2.7755575615628914e-16
8000,four_channel_crossbar,5_to_6,8016f3735c60bf2cd701a9beeb96179cbf25f40ad1a83019cdbecba8c4c5b40a,1.0,True,0.00012151640722385016,0.1597735902004362,0.16925057364319956,0.1371465182713269,1.0,0.20900607157141488,0.1164782691334533,0.5572961027290256,0.0,3.1154940616011126e-06,0.0,2.160758629670438e-06,0.0010118118308458544,1.0,2.96637714392034e-16
8000,four_channel_crossbar,6_to_7,8016f3735c60bf2cd701a9beeb96179cbf25f40ad1a83019cdbecba8c4c5b40a,1.0,True,0.00012151640722385016,0.20900607157141488,0.24505976955189507,0.15066738871342142,1.0,0.21251359822782542,0.14000609176422724,0.6588100381893377,0.0,2.259965345023007e-05,0.0,3.121887581995617e-05,0.0007711991640852601,1.0,3.3306690738754696e-16
8000,dual_independent_relay,4_to_5,c2ba593e778ac9668660651d93df2123ed6c6087c6ca17270ccb00bc4fb7bffb,1.0,True,4.025325246077125e-20,1.819773520950519e-17,2.5735483937756633e-17,0.0,0.0,2.2164644158229397e-17,2.0025186440570256e-17,2.0025186440570257e-05,1.0,1.6165228281076782e-23,1.0,0.0,0.0,0.0,2.220446049250313e-16
8000,dual_independent_relay,5_to_6,c2ba593e778ac9668660651d93df2123ed6c6087c6ca17270ccb00bc4fb7bffb,1.0,True,4.025325246077125e-20,2.2164644158229397e-17,3.1345540373741604e-17,0.0,0.0,2.573710301668463e-17,2.1389939284612428e-17,2.1389939284612428e-05,1.0,1.6693054060945622e-23,1.0,0.0,0.0,0.0,2.220446049250313e-16
