training_seed,architecture,heldout_both_correct,task_competent,transition,component_norm,next_component_norm,transported_component_norm,transport_fraction_of_next,transport_alignment_with_next,random_transport_median,transport_selectivity_over_random,transport_percentile,matched_own_history_transport,transport_selectivity_over_own_history,erase_cross_entropy_increase,random_action_loss_median,action_loss_selectivity_over_random,action_loss_percentile,matched_own_history_action_loss,action_loss_selectivity_over_own_history,erase_probability_response,random_probability_response_median,probability_response_selectivity_over_random,probability_response_percentile,exchange_cross_entropy_increase,erase_bilateral_fraction,exchange_bilateral_fraction,random_bilateral_median,reentry_state_reconstruction_error
3000,independent,0.120849609375,False,4_to_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3000,independent,0.120849609375,False,5_to_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3000,independent,0.120849609375,False,6_to_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3000,distributed,1.0,True,4_to_5,0.2678886857567754,0.39515325917324634,0.2955938797219836,0.7480486946771883,0.6526413785990176,0.23573074861431345,0.05986313110767014,1.0,0.2959529166361298,-0.00035903691414623795,0.561624238695795,0.134154190238089,0.42747004845770603,1.0,1.7434851294138445,-1.1818608907180495,0.07399552122048529,0.019190723111902147,0.054804798108583144,1.0,1.67650944512102,1.0,1.0,1.0,2.220446049250313e-16
3000,distributed,1.0,True,5_to_6,0.39515325917324634,0.571302173117745,0.4373616100402504,0.7655521554442092,0.7394232332795936,0.3121496403636984,0.12521196967655202,1.0,0.37071538551537714,0.06664622452487329,0.6285807494002873,0.10281678438156008,0.5257639650187272,1.0,0.8509715770164357,-0.22239082761614837,0.10559469137696366,0.018188452434347354,0.0874062389426163,1.0,2.067529582430067,1.0,0.999755859375,1.0,2.498001805406602e-16
3000,distributed,1.0,True,6_to_7,0.571302173117745,0.6642572145579182,0.5755302812540224,0.8664268428564287,0.7640001415092137,0.4067354511697666,0.16879483008425578,1.0,0.5023380411673096,0.07319224008671277,1.6657687472486589,0.18151360802296906,1.4842551392256897,1.0,0.6245642610725388,1.04120448617612,0.23029973368642778,0.033503618111276036,0.19679611557515175,1.0,4.598175913198663,1.0,1.0,1.0,2.498001805406602e-16
3000,central_shared,0.999755859375,True,4_to_5,0.29846130166273055,0.4061450249855438,0.3128052941820525,0.7701812774714806,0.7431622637196795,0.24147626651489035,0.07132902766716215,1.0,0.34855124986249086,-0.03574595568043837,0.5345486719419485,0.15233731457961913,0.3822113573623294,1.0,1.1594328737750879,-0.6248842018331393,0.07185155908168105,0.020817083518207484,0.05103447556347356,1.0,1.2951196478893057,1.0,1.0,1.0,2.220446049250313e-16
3000,central_shared,0.999755859375,True,5_to_6,0.4061450249855438,0.5589744468085738,0.4959236453366803,0.8872027123388597,0.8066440124848275,0.3050409630439881,0.19088268229269223,1.0,0.35305534333458255,0.14286830200209777,1.2182532702494757,0.1279674136578346,1.0902858565916411,1.0,0.36598758204063836,0.8522656882088373,0.15559761920800477,0.021658076444614094,0.13393954276339068,1.0,2.539545218351677,1.0,1.0,1.0,2.220446049250313e-16
3000,central_shared,0.999755859375,True,6_to_7,0.5589744468085738,0.6973752985654518,0.6412156379746117,0.9194699601400217,0.8683022033405268,0.38459275707295315,0.2566228809016585,1.0,0.49172114436137193,0.14949449361323974,1.8505605453410292,0.19229596970933505,1.6582645756316943,1.0,0.4670468872601069,1.3835136580809224,0.2639534168603382,0.03373888284698895,0.23021453401334924,1.0,3.876339721070476,1.0,1.0,1.0,2.220446049250313e-16
3000,directional_relay,1.0,True,4_to_5,0.45277466502202235,0.5751312856595252,0.5276075322380952,0.9173688606299122,0.9393888947060796,0.3237989555285811,0.20380857670951408,1.0,0.4365429571342476,0.09106457510384758,3.368868450358287,0.9436230237379957,2.4252454266202914,1.0,3.1960393416037545,0.1728291087545326,0.3160537979159478,0.09427704288507174,0.22177675503087604,1.0,5.088798773563285,1.0,1.0,1.0,2.220446049250313e-16
