left_basis_index,right_basis_index,left_exponent,right_exponent,coefficients,product_in_linear_span,product_is_one_basis_element
1,1,5,5,0;0;0;0;1;0;0,True,True
1,2,5,1,3/5;3/5;3/5;3/5;-2/5;-2/5;-3/5,True,False
1,3,5,11,4/5;-1/5;4/5;-1/5;-1/5;4/5;-4/5,True,False
1,4,5,7,0;0;0;0;0;0;1,True,True
1,5,5,10,3/5;3/5;-2/5;-2/5;3/5;3/5;-3/5,True,False
1,6,5,2,0;0;0;1;0;0;0,True,True
1,7,5,0,1;0;0;0;0;0;0,True,True
2,1,1,5,3/5;3/5;3/5;3/5;-2/5;-2/5;-3/5,True,False
2,2,1,1,0;0;0;0;0;1;0,True,True
2,3,1,11,0;0;0;0;0;0;1,True,True
2,4,1,7,-1/5;4/5;-1/5;4/5;4/5;-1/5;-4/5,True,False
2,5,1,10,0;0;1;0;0;0;0,True,True
2,6,1,2,3/5;3/5;-2/5;-2/5;3/5;3/5;-3/5,True,False
2,7,1,0,0;1;0;0;0;0;0,True,True
3,1,11,5,4/5;-1/5;4/5;-1/5;-1/5;4/5;-4/5,True,False
3,2,11,1,0;0;0;0;0;0;1,True,True
3,3,11,11,0;0;0;0;1;0;0,True,True
3,4,11,7,3/5;3/5;3/5;3/5;-2/5;-2/5;-3/5,True,False
3,5,11,10,-2/5;-2/5;3/5;3/5;3/5;3/5;-3/5,True,False
3,6,11,2,0;1;0;0;0;0;0,True,True
3,7,11,0,0;0;1;0;0;0;0,True,True
4,1,7,5,0;0;0;0;0;0;1,True,True
4,2,7,1,-1/5;4/5;-1/5;4/5;4/5;-1/5;-4/5,True,False
4,3,7,11,3/5;3/5;3/5;3/5;-2/5;-2/5;-3/5,True,False
4,4,7,7,0;0;0;0;0;1;0,True,True
4,5,7,10,1;0;0;0;0;0;0,True,True
4,6,7,2,-2/5;-2/5;3/5;3/5;3/5;3/5;-3/5,True,False
4,7,7,0,0;0;0;1;0;0;0,True,True
5,1,10,5,3/5;3/5;-2/5;-2/5;3/5;3/5;-3/5,True,False
5,2,10,1,0;0;1;0;0;0;0,True,True
5,3,10,11,-2/5;-2/5;3/5;3/5;3/5;3/5;-3/5,True,False
5,4,10,7,1;0;0;0;0;0;0,True,True
5,5,10,10,-1/5;4/5;-1/5;4/5;4/5;-1/5;-4/5,True,False
5,6,10,2,0;0;0;0;0;0;1,True,True
5,7,10,0,0;0;0;0;1;0;0,True,True
6,1,2,5,0;0;0;1;0;0;0,True,True
6,2,2,1,3/5;3/5;-2/5;-2/5;3/5;3/5;-3/5,True,False
6,3,2,11,0;1;0;0;0;0;0,True,True
6,4,2,7,-2/5;-2/5;3/5;3/5;3/5;3/5;-3/5,True,False
6,5,2,10,0;0;0;0;0;0;1,True,True
6,6,2,2,4/5;-1/5;4/5;-1/5;-1/5;4/5;-4/5,True,False
6,7,2,0,0;0;0;0;0;1;0,True,True
7,1,0,5,1;0;0;0;0;0;0,True,True
7,2,0,1,0;1;0;0;0;0;0,True,True
7,3,0,11,0;0;1;0;0;0;0,True,True
7,4,0,7,0;0;0;1;0;0;0,True,True
7,5,0,10,0;0;0;0;1;0;0,True,True
7,6,0,2,0;0;0;0;0;1;0,True,True
7,7,0,0,0;0;0;0;0;0;1,True,True
