primitive_id,canonical_rule,input_types,output_type,linearity,direction,supporting_sites
P01,advance_recurrently,MODEL;JOINT_STATE;INPUT_STEP,JOINT_STATE,nonlinear,forward_time,e006_recurrent_advance
P02,construct_cross_pair_route,PAIR_LABELS,PERMUTATION,discrete_routing,different_pair,e006_cross_pair_route;e006a_cross_pair_route
P03,continue_to_bilateral_readout,MODEL;JOINT_STATE;INPUT_SEQUENCE;STEP,BILATERAL_LOGITS,nonlinear,forward_suffix,e006_suffix_readout
P04,difference_relational_contribution,RELATION_COMPONENT;RELATION_COMPONENT,RELATION_COMPONENT,linear,counterfactual_difference,e006_transport_difference;e006a_transport_difference
P05,erase_relation,JOINT_STATE;RELATION_COMPONENT,JOINT_STATE,linear,current_pair,e006_erase_current_relation;e006a_erase_current_relation
P06,extract_joint_synergy,STATE_BUNDLE,RELATION_COMPONENT,linear,joint_inclusion_exclusion,e006a_inclusion_exclusion_extract
P07,extract_relation,ARCHITECTURE;STATE_BUNDLE,RELATION_COMPONENT,linear,ordered_receivers,e006_receiver_directed_extract
P08,permute_relation_by_route,RELATION_COMPONENT;PERMUTATION,RELATION_COMPONENT,linear,different_pair,e006_apply_donor_route;e006a_apply_donor_route
P09,replace_joint_in_bundle,ARCHITECTURE;STATE_BUNDLE;JOINT_STATE,RELATION_COMPONENT,linear,counterfactual_next,e006_replace_joint_in_bundle
P10,select_state_bundle_at_time,TRAJECTORIES;STEP,STATE_BUNDLE,discrete_routing,time_indexed,e006_state_bundle_at_time
P11,substitute_relation,JOINT_STATE;RELATION_COMPONENT;RELATION_COMPONENT,JOINT_STATE,linear,cross_pair_donor,e006_substitute_transported_relation;e006a_substitute_current_relation
