variant,changed_rule,primitive_count,structural_class,class_matches_base,mediation_route_present
remove_P01,advance_recurrently,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,False
remove_P02,construct_cross_pair_route,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P03,continue_to_bilateral_readout,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P04,difference_relational_contribution,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,False
remove_P05,erase_relation,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P06,extract_joint_synergy,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P07,extract_relation,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P08,permute_relation_by_route,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P09,replace_joint_in_bundle,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,False
remove_P10,select_state_bundle_at_time,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
remove_P11,substitute_relation,10,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
add_predeclared_ordered_receiver_partition,partition_ordered_receivers,12,STABLE_NONLINEAR_OR_TYPED_ACTION_STRUCTURE,True,True
