site_id,source_path,function,canonical_rule,input_types,output_type,linearity,direction,source_verified
e006_state_bundle_at_time,experiments/006_spontaneous_o3_reentry/run.py,relation_states_at,select_state_bundle_at_time,TRAJECTORIES;STEP,STATE_BUNDLE,discrete_routing,time_indexed,True
e006_receiver_directed_extract,experiments/006_spontaneous_o3_reentry/run.py,directed_component_from_states,extract_relation,ARCHITECTURE;STATE_BUNDLE,RELATION_COMPONENT,linear,ordered_receivers,True
e006a_inclusion_exclusion_extract,experiments/006a_emergent_nonseparable_relational_c/run.py,synergy,extract_joint_synergy,STATE_BUNDLE,RELATION_COMPONENT,linear,joint_inclusion_exclusion,True
e006_erase_current_relation,experiments/006_spontaneous_o3_reentry/run.py,audit_transition,erase_relation,JOINT_STATE;RELATION_COMPONENT,JOINT_STATE,linear,current_pair,True
e006a_erase_current_relation,experiments/006a_emergent_nonseparable_relational_c/run.py,audit_transition,erase_relation,JOINT_STATE;RELATION_COMPONENT,JOINT_STATE,linear,current_pair,True
e006_substitute_transported_relation,experiments/006_spontaneous_o3_reentry/run.py,audit_transition,substitute_relation,JOINT_STATE;RELATION_COMPONENT;RELATION_COMPONENT,JOINT_STATE,linear,cross_pair_donor,True
e006a_substitute_current_relation,experiments/006a_emergent_nonseparable_relational_c/run.py,audit_transition,substitute_relation,JOINT_STATE;RELATION_COMPONENT;RELATION_COMPONENT,JOINT_STATE,linear,cross_pair_donor,True
e006_recurrent_advance,experiments/006_spontaneous_o3_reentry/run.py,advance,advance_recurrently,MODEL;JOINT_STATE;INPUT_STEP,JOINT_STATE,nonlinear,forward_time,True
e006_replace_joint_in_bundle,experiments/006_spontaneous_o3_reentry/run.py,next_component_after_ab_intervention,replace_joint_in_bundle,ARCHITECTURE;STATE_BUNDLE;JOINT_STATE,RELATION_COMPONENT,linear,counterfactual_next,True
e006_suffix_readout,experiments/006_spontaneous_o3_reentry/run.py,continue_from_step,continue_to_bilateral_readout,MODEL;JOINT_STATE;INPUT_SEQUENCE;STEP,BILATERAL_LOGITS,nonlinear,forward_suffix,True
e006_cross_pair_route,experiments/006_spontaneous_o3_reentry/run.py,audit_transition,construct_cross_pair_route,PAIR_LABELS,PERMUTATION,discrete_routing,different_pair,True
e006a_cross_pair_route,experiments/006a_emergent_nonseparable_relational_c/run.py,donor_indices,construct_cross_pair_route,PAIR_LABELS,PERMUTATION,discrete_routing,different_pair,True
e006_apply_donor_route,experiments/006_spontaneous_o3_reentry/run.py,audit_transition,permute_relation_by_route,RELATION_COMPONENT;PERMUTATION,RELATION_COMPONENT,linear,different_pair,True
e006a_apply_donor_route,experiments/006a_emergent_nonseparable_relational_c/run.py,audit_transition,permute_relation_by_route,RELATION_COMPONENT;PERMUTATION,RELATION_COMPONENT,linear,different_pair,True
e006_transport_difference,experiments/006_spontaneous_o3_reentry/run.py,audit_transition,difference_relational_contribution,RELATION_COMPONENT;RELATION_COMPONENT,RELATION_COMPONENT,linear,counterfactual_difference,True
e006a_transport_difference,experiments/006a_emergent_nonseparable_relational_c/run.py,audit_transition,difference_relational_contribution,RELATION_COMPONENT;RELATION_COMPONENT,RELATION_COMPONENT,linear,counterfactual_difference,True
