first_primitive,first_rule,then_primitive,then_rule,composable,matching_input_positions
P01,advance_recurrently,P01,advance_recurrently,True,1
P01,advance_recurrently,P02,construct_cross_pair_route,False,
P01,advance_recurrently,P03,continue_to_bilateral_readout,True,1
P01,advance_recurrently,P04,difference_relational_contribution,False,
P01,advance_recurrently,P05,erase_relation,True,0
P01,advance_recurrently,P06,extract_joint_synergy,False,
P01,advance_recurrently,P07,extract_relation,False,
P01,advance_recurrently,P08,permute_relation_by_route,False,
P01,advance_recurrently,P09,replace_joint_in_bundle,True,2
P01,advance_recurrently,P10,select_state_bundle_at_time,False,
P01,advance_recurrently,P11,substitute_relation,True,0
P02,construct_cross_pair_route,P01,advance_recurrently,False,
P02,construct_cross_pair_route,P02,construct_cross_pair_route,False,
P02,construct_cross_pair_route,P03,continue_to_bilateral_readout,False,
P02,construct_cross_pair_route,P04,difference_relational_contribution,False,
P02,construct_cross_pair_route,P05,erase_relation,False,
P02,construct_cross_pair_route,P06,extract_joint_synergy,False,
P02,construct_cross_pair_route,P07,extract_relation,False,
P02,construct_cross_pair_route,P08,permute_relation_by_route,True,1
P02,construct_cross_pair_route,P09,replace_joint_in_bundle,False,
P02,construct_cross_pair_route,P10,select_state_bundle_at_time,False,
P02,construct_cross_pair_route,P11,substitute_relation,False,
P03,continue_to_bilateral_readout,P01,advance_recurrently,False,
P03,continue_to_bilateral_readout,P02,construct_cross_pair_route,False,
P03,continue_to_bilateral_readout,P03,continue_to_bilateral_readout,False,
P03,continue_to_bilateral_readout,P04,difference_relational_contribution,False,
P03,continue_to_bilateral_readout,P05,erase_relation,False,
P03,continue_to_bilateral_readout,P06,extract_joint_synergy,False,
P03,continue_to_bilateral_readout,P07,extract_relation,False,
P03,continue_to_bilateral_readout,P08,permute_relation_by_route,False,
P03,continue_to_bilateral_readout,P09,replace_joint_in_bundle,False,
P03,continue_to_bilateral_readout,P10,select_state_bundle_at_time,False,
P03,continue_to_bilateral_readout,P11,substitute_relation,False,
P04,difference_relational_contribution,P01,advance_recurrently,False,
P04,difference_relational_contribution,P02,construct_cross_pair_route,False,
P04,difference_relational_contribution,P03,continue_to_bilateral_readout,False,
P04,difference_relational_contribution,P04,difference_relational_contribution,True,0;1
P04,difference_relational_contribution,P05,erase_relation,True,1
P04,difference_relational_contribution,P06,extract_joint_synergy,False,
P04,difference_relational_contribution,P07,extract_relation,False,
P04,difference_relational_contribution,P08,permute_relation_by_route,True,0
P04,difference_relational_contribution,P09,replace_joint_in_bundle,False,
P04,difference_relational_contribution,P10,select_state_bundle_at_time,False,
P04,difference_relational_contribution,P11,substitute_relation,True,1;2
P05,erase_relation,P01,advance_recurrently,True,1
P05,erase_relation,P02,construct_cross_pair_route,False,
