basis,representation,full_energy_hartree,isolated_energy_hartree,edge_deleted_energy_hartree,complete_h1_carrier_norm,complete_eri_carrier_norm,naive_offdiagonal_h_norm
sto-3g,identity,-1.7435782477181476,-1.3997455486718255,-1.4406451619146514,2.0747890627182093,1.2562728989924157,0.6523150819703147
sto-3g,hamiltonian_eigenbasis,-1.743578247718144,-1.3997455486718264,-1.4406451619146483,2.0747890627182093,1.2562728989924168,1.2705530382996787e-15
sto-3g,random_1010,-1.7435782477181423,-1.3997455486718233,-1.440645161914646,2.074789062718209,1.2562728989924157,0.5261768023364837
sto-3g,random_2020,-1.7435782477181458,-1.399745548671826,-1.4406451619146474,2.0747890627182093,1.2562728989924163,0.5273803272815695
sto-3g,random_3030,-1.7435782477181396,-1.399745548671825,-1.4406451619146483,2.074789062718209,1.256272898992416,0.6348787500115207
6-31g,identity,-1.7621678895433028,-1.4946987321872058,-1.718342664944604,2.721933616005608,2.150431098600793,1.6032796409970533
6-31g,hamiltonian_eigenbasis,-1.7621678895432984,-1.49469873218717,-1.718342664944605,2.7219336160056073,2.1504310986007926,2.221475329158637e-15
6-31g,random_1010,-1.7621678895432984,-1.4946987321870637,-1.718342664944604,2.721933616005608,2.1504310986007935,1.4865578260004082
6-31g,random_2020,-1.762167889543302,-1.4946987321870526,-1.718342664944604,2.721933616005608,2.1504310986007935,1.393355304307542
6-31g,random_3030,-1.7621678895432984,-1.494698732187104,-1.7183426649446032,2.721933616005607,2.150431098600792,1.4898949221367876
cc-pvdz,identity,-1.8058766800961163,-1.4978352102587473,-1.708912184979876,4.786723060977847,6.070997240706835,3.199295580019187
cc-pvdz,hamiltonian_eigenbasis,-1.805876680102306,-1.4978352102586903,-1.7089121905148112,4.786723060977848,6.070997240706837,5.122044173628455e-15
cc-pvdz,random_1010,-1.8058766800741402,-1.4978352102586898,-1.708912189237569,4.786723060977847,6.070997240706834,3.560064310962537
cc-pvdz,random_2020,-1.8058766801017598,-1.497835210258446,-1.7089121904797309,4.786723060977847,6.070997240706834,3.482629958337082
cc-pvdz,random_3030,-1.8058766800166786,-1.497835210258625,-1.7089121898115853,4.786723060977847,6.070997240706837,3.553897093833081
