basis,subset,binding_signal_hartree
sto-3g,isolated,0.0
sto-3g,cross_eri,-0.3307638394503074
sto-3g,other_nucleus_local,1.0025497815984252
sto-3g,nuclear_repulsion,-0.6685183008610942
sto-3g,local_deformation,-0.006847360459716567
sto-3g,cross_eri+other_nucleus_local,0.6717859421481174
sto-3g,cross_eri+nuclear_repulsion,-0.9992821403114016
sto-3g,cross_eri+local_deformation,-0.33761119991002375
sto-3g,nuclear_repulsion+other_nucleus_local,0.334031480737331
sto-3g,local_deformation+other_nucleus_local,0.9957024211387075
sto-3g,local_deformation+nuclear_repulsion,-0.6753656613208108
sto-3g,cross_eri+nuclear_repulsion+other_nucleus_local,0.003267641287023171
sto-3g,cross_eri+local_deformation+other_nucleus_local,0.6649385816884028
sto-3g,cross_eri+local_deformation+nuclear_repulsion,-1.006129500771118
sto-3g,local_deformation+nuclear_repulsion+other_nucleus_local,0.32718412027761334
sto-3g,cross_eri+local_deformation+nuclear_repulsion+other_nucleus_local,-0.003579719172691398
6-31g,isolated,0.0
6-31g,cross_eri,-0.32203290962327347
6-31g,other_nucleus_local,0.9926653467027529
6-31g,nuclear_repulsion,-0.6685183008610942
6-31g,local_deformation,-0.018014469204492345
6-31g,cross_eri+other_nucleus_local,0.6704123359547429
6-31g,cross_eri+nuclear_repulsion,-0.9905512104843677
6-31g,cross_eri+local_deformation,-0.3406185035568736
6-31g,nuclear_repulsion+other_nucleus_local,0.3241470458416589
6-31g,local_deformation+other_nucleus_local,0.9750821167028678
6-31g,local_deformation+nuclear_repulsion,-0.6865327700655866
6-31g,cross_eri+nuclear_repulsion+other_nucleus_local,0.001894035093648716
6-31g,cross_eri+local_deformation+other_nucleus_local,0.6522712594657729
6-31g,cross_eri+local_deformation+nuclear_repulsion,-1.0091368044179678
6-31g,local_deformation+nuclear_repulsion+other_nucleus_local,0.30656381584177383
6-31g,cross_eri+local_deformation+nuclear_repulsion+other_nucleus_local,-0.016247041395321293
cc-pvdz,isolated,0.0
cc-pvdz,cross_eri,-0.31496829846931707
cc-pvdz,other_nucleus_local,0.9939233761159363
cc-pvdz,nuclear_repulsion,-0.6685183008610942
cc-pvdz,local_deformation,-0.023775934140637167
cc-pvdz,cross_eri+other_nucleus_local,0.669440242612074
cc-pvdz,cross_eri+nuclear_repulsion,-0.9834865993304113
cc-pvdz,cross_eri+local_deformation,-0.3383286650431099
cc-pvdz,nuclear_repulsion+other_nucleus_local,0.3254050752548423
cc-pvdz,local_deformation+other_nucleus_local,0.9686329170408472
cc-pvdz,local_deformation+nuclear_repulsion,-0.6922942350017314
cc-pvdz,cross_eri+nuclear_repulsion+other_nucleus_local,0.0009219417509798156
cc-pvdz,cross_eri+local_deformation+other_nucleus_local,0.6446037380113614
cc-pvdz,cross_eri+local_deformation+nuclear_repulsion,-1.006846965904204
cc-pvdz,local_deformation+nuclear_repulsion+other_nucleus_local,0.3001146161797532
cc-pvdz,cross_eri+local_deformation+nuclear_repulsion+other_nucleus_local,-0.023914562849732812
