domain,realization,condition,whole_score
atomic,hydrogen,intact,0.9999916683825758
atomic,hydrogen,removed,0.4331441847241295
atomic,hydrogen,mismatched_return,0.26764764076552505
atomic,hydrogen,correct_return,0.9674587638589005
atomic,deuterium,intact,0.9999916840802077
atomic,deuterium,removed,0.4331983359786311
atomic,deuterium,mismatched_return,0.2677829692254179
atomic,deuterium,correct_return,0.9674690647155559
molecular,sto-3g,intact,1.0
molecular,sto-3g,removed,0.0
molecular,sto-3g,mismatched_return,0.76
molecular,sto-3g,correct_return,1.0
molecular,6-31g,intact,1.0
molecular,6-31g,removed,0.0
molecular,6-31g,mismatched_return,0.64
molecular,6-31g,correct_return,1.0
molecular,cc-pvdz,intact,1.0
molecular,cc-pvdz,removed,0.0
molecular,cc-pvdz,mismatched_return,0.0
molecular,cc-pvdz,correct_return,1.0
cellular,cohort_1,intact,1.0
cellular,cohort_1,removed,0.0
cellular,cohort_1,mismatched_return,0.0
cellular,cohort_1,correct_return,1.0
cellular,cohort_2,intact,1.0
cellular,cohort_2,removed,0.0
cellular,cohort_2,mismatched_return,0.0
cellular,cohort_2,correct_return,1.0
cellular,cohort_3,intact,1.0
cellular,cohort_3,removed,0.0
cellular,cohort_3,mismatched_return,0.0
cellular,cohort_3,correct_return,1.0
cellular,cohort_4,intact,1.0
cellular,cohort_4,removed,0.0
cellular,cohort_4,mismatched_return,0.0
cellular,cohort_4,correct_return,1.0
