domain,realization,condition,whole_score
atomic,tritium,intact,0.9999916892960728
atomic,tritium,removed,0.4332163510142148
atomic,tritium,mismatched_return,0.28232739617181674
atomic,tritium,correct_return,0.9674724911740576
atomic,helium3_hydrogenic,intact,0.999999975217622
atomic,helium3_hydrogenic,removed,0.3908554414091956
atomic,helium3_hydrogenic,mismatched_return,0.022500945074793183
atomic,helium3_hydrogenic,correct_return,0.9987878384332554
molecular,cc-pvtz_fresh_line,intact,1.0
molecular,cc-pvtz_fresh_line,removed,0.70875
molecular,cc-pvtz_fresh_line,mismatched_return,0.80625
molecular,cc-pvtz_fresh_line,correct_return,1.0
cellular,cohort_1,intact,1.0
cellular,cohort_1,removed,0.0
cellular,cohort_1,mismatched_return,0.0
cellular,cohort_1,correct_return,1.0
cellular,cohort_2,intact,1.0
cellular,cohort_2,removed,0.0
cellular,cohort_2,mismatched_return,0.0
cellular,cohort_2,correct_return,1.0
cellular,cohort_3,intact,1.0
cellular,cohort_3,removed,0.0
cellular,cohort_3,mismatched_return,0.0
cellular,cohort_3,correct_return,1.0
cellular,cohort_4,intact,1.0
cellular,cohort_4,removed,0.0
cellular,cohort_4,mismatched_return,0.0
cellular,cohort_4,correct_return,1.0
