profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.7,6-31g,0.7,0.0005,10,0.15,0.9874999999999999,0.173125,0.0,0.98625,0.813125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,10,0.25,1.0,0.29312499999999997,0.0075,1.0,0.706875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,10,0.35,1.0,0.395,0.5062500000000001,1.0,0.4937499999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,10,0.45,1.0,0.494375,0.969375,1.0,0.030625000000000013,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,10,0.55,1.0,0.59125,0.984375,1.0,0.015625,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,20,0.15,0.9874999999999999,0.173125,0.0,0.9824999999999999,0.809375,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,20,0.25,1.0,0.29312499999999997,0.004375,1.0,0.706875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,20,0.35,1.0,0.395,0.44125,1.0,0.5587500000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,20,0.45,1.0,0.494375,0.8418749999999999,1.0,0.15812500000000007,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,20,0.55,1.0,0.59125,0.859375,1.0,0.140625,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,40,0.15,0.9874999999999999,0.173125,0.0,0.98125,0.808125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,40,0.25,1.0,0.29312499999999997,0.00125,1.0,0.706875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,40,0.35,1.0,0.395,0.40375000000000005,1.0,0.59625,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,40,0.45,1.0,0.494375,0.7806249999999999,1.0,0.2193750000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.0005,40,0.55,1.0,0.59125,0.796875,1.0,0.203125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,10,0.15,0.901875,0.173125,0.0,0.8881249999999999,0.715,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,10,0.25,0.9924999999999999,0.29312499999999997,0.044375,0.99,0.696875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,10,0.35,0.999375,0.395,0.46375,0.999375,0.535625,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,10,0.45,1.0,0.494375,0.8737499999999999,1.0,0.12625000000000008,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,10,0.55,1.0,0.59125,0.973125,1.0,0.026874999999999982,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,20,0.15,0.901875,0.173125,0.0,0.8881249999999999,0.715,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,20,0.25,0.9924999999999999,0.29312499999999997,0.039375,0.98375,0.690625,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,20,0.35,0.999375,0.395,0.4125,1.0,0.586875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,20,0.45,1.0,0.494375,0.765625,1.0,0.234375,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,20,0.55,1.0,0.59125,0.8474999999999999,1.0,0.15250000000000008,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,40,0.15,0.901875,0.173125,0.0,0.89625,0.723125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,40,0.25,0.9924999999999999,0.29312499999999997,0.045625,0.985,0.691875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,40,0.35,0.999375,0.395,0.393125,1.0,0.604375,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,40,0.45,1.0,0.494375,0.719375,1.0,0.280625,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.001,40,0.55,1.0,0.59125,0.785625,1.0,0.21437499999999998,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,10,0.15,0.80125,0.173125,0.003125,0.7974999999999999,0.6243749999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,10,0.25,0.93625,0.29312499999999997,0.10062499999999999,0.93625,0.6431250000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,10,0.35,0.978125,0.395,0.448125,0.97875,0.53,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,10,0.45,0.993125,0.494375,0.7925,0.9937499999999999,0.20062500000000005,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,10,0.55,0.99875,0.59125,0.92,0.99875,0.07874999999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,20,0.15,0.80125,0.173125,0.004375,0.7975,0.624375,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,20,0.25,0.93625,0.29312499999999997,0.10125,0.935,0.6418750000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,20,0.35,0.978125,0.395,0.4125,0.97625,0.56375,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,20,0.45,0.993125,0.494375,0.69625,0.9924999999999999,0.2962499999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,20,0.55,0.99875,0.59125,0.804375,0.999375,0.19437500000000008,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.15,0.80125,0.173125,0.0075,0.79125,0.618125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.25,0.93625,0.29312499999999997,0.095,0.9425,0.6431250000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.35,0.978125,0.395,0.37812500000000004,0.984375,0.583125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.45,0.993125,0.494375,0.648125,0.996875,0.3450000000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.55,0.99875,0.59125,0.7575,1.0,0.24125000000000008,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.15,0.598125,0.173125,0.031249999999999997,0.6212500000000001,0.42500000000000004,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.25,0.8168749999999999,0.29312499999999997,0.16875,0.8306249999999998,0.5237499999999999,True,0.06706788535163427
