domain,realization,checkpoint,correct_minus_removed,correct_minus_mismatch,pass
atomic,helium4_hydrogenic,200,0.2582720296001023,0.28548535130209696,True
atomic,helium4_hydrogenic,400,0.4399422482587645,0.5012386847568913,True
atomic,helium4_hydrogenic,800,0.6537016662118605,0.7783622224446288,True
molecular,grid_factor_1,100,0.7307857329796784,0.8779246533730419,True
molecular,grid_factor_1,200,0.732699708577179,0.8874013086992427,True
molecular,grid_factor_1,400,0.7327614935738701,0.8874957810357695,True
molecular,grid_factor_2,100,0.7141433493036976,0.8816370033572768,True
molecular,grid_factor_2,200,0.7162918310255575,0.8861317111237583,True
molecular,grid_factor_2,400,0.7163633639503632,0.8861459159921646,True
molecular,grid_factor_4,100,0.7207280400349703,0.8829973970987463,True
molecular,grid_factor_4,200,0.7228198660537486,0.8857058951998605,True
molecular,grid_factor_4,400,0.7228900509519631,0.8857108557700123,True
cellular,damage_0.675,40.0,0.8208139559287609,0.29360818825448076,True
cellular,damage_0.675,60.0,0.8175781763562223,0.30934395343793436,True
cellular,damage_0.675,90.0,0.8302030286447326,0.3131072300234951,True
cellular,damage_0.675,105.0,0.8276417447876856,0.30182856671047636,True
cellular,damage_0.825,40.0,0.7951474267522842,0.1805682428068316,True
cellular,damage_0.825,60.0,0.8282713161074654,0.22934248704676852,True
cellular,damage_0.825,90.0,0.6700200722925973,0.07216356898566373,True
cellular,damage_0.825,105.0,0.6465846643288635,0.03924862997875501,True
